,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
157,Fort Hood shooting 2,"Fort Hood, Texas",4/3/2014,Fort Hood Army Post,Open,Policeman,psycho,3,12,15,3,34,1,Fort Hood,Unclear,Latino,M,,
158,Fort Hood,"Killeen, Texas",4/2/2014,Fort Hood Army Post,Open,Policeman,psycho,4,16,19,3,34,1,Fort Hood,Yes,Some other race,Male,31.07925506,-97.73392317
159,San Francisco Tenderloin,"San Francisco, CA",3/23/2014,Outside Club,Open,random,anger,0,8,8,0,,,,No,Black American or African American,Male,37.75457839,-122.4424343
160,Cedarville Rancheria Tribe,"Alturas, California",2/20/2014,,,Family+random,psycho,4,2,6,0,44,,,No,Native American or Alaska Native,Female,41.4911123,-120.549091
161,Centennial Hill Bar & Grill,"Montgomery, Alabama",12/28/2013,,Close,rapper+random,anger,3,5,8,0,,,,No,Black American or African American,Male,32.34729571,-86.26730242
162,Los Angeles International Airport (LAX),"Los Angeles, California",11/1/2013,Los Angeles International Airport,Open,TSA Officer,anger,1,3,4,1,23,0,,No,White American or European American,Male,34.17622092,-118.5399542
163,Sparks Middle School,"Sparks, Nevada",10/21/2013,Sparks Middle School in Nevada,Close,random,psycho,2,2,3,0,12,,,Unknown,Some other race,Male,39.54058388,-119.748291
164,Washington Navy Yard,Washington D.C.,9/16/2013,,Close,random,terrorism,13,3,15,0,34,1,Navy Yard,Yes,Black American or African American,Male,38.90480894,-77.01629717
165,Oklahoma City Residence,"Oklahoma City, Oklahoma",8/14/2013,,,Family,psycho,4,0,4,0,40,,,Yes,White American or European American,Male,35.46779189,-97.5191631
166,Homes in Desoto and Dallas,"Dallas, Texas",8/7/2013,Home,Close,random,psycho,4,4,8,0,44,0,,Unknown,Black American or African American,Male,32.79480596,-96.76631094
167,Ross Township Supervisor Council Meeting,"Salisbury , Pennsylvania",8/5/2013,Ross Township,Close,random,psycho,3,3,6,0,59,0,,No,White American or European American,Male,39.75344279,-79.08435956
168,Hialeah apartment shooting,"Hialeah, Florida",7/26/2013,Apartment Complex,Close,random,terrorism,7,0,7,0,42,,,Unclear,Latino,Male,25.8670105,-80.29146268
169,Santa Monica College,"Santa Monica, California",6/7/2013,,Open+Close,random,psycho,6,3,8,0,23,,,Yes,White American or European American,Male,34.02319149,-118.4815644
170,Village of Manchester in Illinois (Boston Bombing time),"Manchester, Illinois",4/24/2013,Home ,Close,partner's family,anger,7,1,7,0,43,,,Unknown,White American or European American,Male,39.54231335,-90.33029852
171,Pinewood Village Apartments ((Boston Bombing time),"Federal Way, Washington",4/21/2013,Apartment,Close,Girlfriend,anger,5,0,4,0,27,,,Unknown,Black American or African American,Male,47.30909721,-122.3357553
