"Year","Year Code","Five-Year Age Groups","Five-Year Age Groups Code","Gender","Gender Code","Deaths","Population","Crude Rate"
"2006","2006","1-4 years","1-4","Male","M",0,8122053,0
"2006","2006","5-9 years","5-9","Female","F",0,9555173,0
"2006","2006","5-9 years","5-9","Male","M",0,9989515,0
"2006","2006","10-14 years","10-14","Female","F",10,10261944,0
"2006","2006","10-14 years","10-14","Male","M",52,10771194,0.5
"2006","2006","15-19 years","15-19","Female","F",62,10597293,0.6
"2006","2006","15-19 years","15-19","Male","M",639,11210416,5.7
"2006","2006","20-24 years","20-24","Female","F",120,10238784,1.2
"2006","2006","20-24 years","20-24","Male","M",1157,10797351,10.7
"2006","2006","25-29 years","25-29","Female","F",143,10014422,1.4
"2006","2006","25-29 years","25-29","Male","M",978,10095589,9.7
"2006","2006","30-34 years","30-34","Female","F",115,9611918,1.2
"2006","2006","30-34 years","30-34","Male","M",914,9673250,9.4
"2006","2006","35-39 years","35-39","Female","F",205,10489448,2
"2006","2006","35-39 years","35-39","Male","M",1105,10451785,10.6
"2006","2006","40-44 years","40-44","Female","F",258,11238163,2.3
"2006","2006","40-44 years","40-44","Male","M",1253,11064405,11.3
"2006","2006","45-49 years","45-49","Female","F",307,11505455,2.7
"2006","2006","45-49 years","45-49","Male","M",1476,11209831,13.2
"2006","2006","50-54 years","50-54","Female","F",267,10506120,2.5
"2006","2006","50-54 years","50-54","Male","M",1431,10064753,14.2
"2006","2006","55-59 years","55-59","Female","F",213,9473065,2.2
"2006","2006","55-59 years","55-59","Male","M",1267,8923795,14.2
"2006","2006","60-64 years ","60-64","Female","F",165,7058989,2.3
"2006","2006","60-64 years ","60-64","Male","M",917,6474264,14.2
"2006","2006","65-69 years","65-69","Female","F",99,5609202,1.8
"2006","2006","65-69 years","65-69","Male","M",787,4943999,15.9
"2006","2006","70-74 years","70-74","Female","F",68,4741436,1.4
"2006","2006","70-74 years","70-74","Male","M",735,3908390,18.8
"2006","2006","75-79 years","75-79","Female","F",48,4269136,1.1
"2006","2006","75-79 years","75-79","Male","M",822,3177898,25.9
"2006","2006","80-84 years","80-84","Female","F",44,3463549,1.3
"2006","2006","80-84 years","80-84","Male","M",648,2184568,29.7
"2006","2006","85-89 years","85-89","Female","F",18,0,0
"2006","2006","85-89 years","85-89","Male","M",401,0,0
"2006","2006","90-94 years","90-94","Female","F",6,0,0
"2006","2006","90-94 years","90-94","Male","M",137,0,0
"2006","2006","95-99 years","95-99","Female","F",1,0,0
"2006","2006","95-99 years","95-99","Male","M",13,0,0
"2006","2006","100+ years","100+","Female","F",0,0,0
"2006","2006","100+ years","100+","Male","M",1,0,0
"2006","2006","Not Stated","NS","Female","F",0,0,0
"2006","2006","Not Stated","NS","Male","M",1,0,0
"2007","2007","< 1 year","1","Female","F",0,2027181,0
"2007","2007","< 1 year","1","Male","M",0,2120816,0
"2007","2007","1-4 years","1-4","Female","F",0,7813088,0
"2007","2007","1-4 years","1-4","Male","M",0,8164877,0
"2007","2007","5-9 years","5-9","Female","F",0,9640683,0
"2007","2007","5-9 years","5-9","Male","M",0,10073928,0
"2007","2007","10-14 years","10-14","Female","F",8,10170082,0
"2007","2007","10-14 years","10-14","Male","M",45,10670960,0.4
"2007","2007","15-19 years","15-19","Female","F",58,10731326,0.5
"2007","2007","15-19 years","15-19","Male","M",572,11336490,5
"2007","2007","20-24 years","20-24","Female","F",115,10270163,1.1
"2007","2007","20-24 years","20-24","Male","M",1155,10807836,10.7
"2007","2007","25-29 years","25-29","Female","F",121,10229259,1.2
"2007","2007","25-29 years","25-29","Male","M",1030,10313439,10
"2007","2007","30-34 years","30-34","Female","F",152,9559334,1.6
"2007","2007","30-34 years","30-34","Male","M",1003,9611431,10.4
"2007","2007","35-39 years","35-39","Female","F",196,10502839,1.9
"2007","2007","35-39 years","35-39","Male","M",1080,10461052,10.3
"2007","2007","40-44 years","40-44","Female","F",290,10999163,2.6
"2007","2007","40-44 years","40-44","Male","M",1313,10833176,12.1
"2007","2007","45-49 years","45-49","Female","F",300,11542213,2.6
"2007","2007","45-49 years","45-49","Male","M",1463,11257548,13
"2007","2007","50-54 years","50-54","Female","F",254,10795749,2.4
"2007","2007","50-54 years","50-54","Male","M",1514,10344429,14.6
"2007","2007","55-59 years","55-59","Female","F",219,9509473,2.3
"2007","2007","55-59 years","55-59","Male","M",1331,8945299,14.9
"2007","2007","60-64 years ","60-64","Female","F",170,7639198,2.2
"2007","2007","60-64 years ","60-64","Male","M",1066,7034464,15.2
"2007","2007","65-69 years","65-69","Female","F",97,5824805,1.7
"2007","2007","65-69 years","65-69","Male","M",844,5145430,16.4
"2007","2007","70-74 years","70-74","Female","F",64,4770997,1.3
"2007","2007","70-74 years","70-74","Male","M",695,3957495,17.6
"2007","2007","75-79 years","75-79","Female","F",64,4225224,1.5
"2007","2007","75-79 years","75-79","Male","M",855,3175139,26.9
"2007","2007","80-84 years","80-84","Female","F",42,3469267,1.2
"2007","2007","80-84 years","80-84","Male","M",628,2217809,28.3
"2007","2007","85-89 years","85-89","Female","F",16,0,0
"2007","2007","85-89 years","85-89","Male","M",419,0,0
"2007","2007","90-94 years","90-94","Female","F",4,0,0
"2007","2007","90-94 years","90-94","Male","M",144,0,0
"2007","2007","95-99 years","95-99","Female","F",1,0,0
"2007","2007","95-99 years","95-99","Male","M",21,0,0
"2007","2007","100+ years","100+","Female","F",0,0,0
"2007","2007","100+ years","100+","Male","M",1,0,0
"2007","2007","Not Stated","NS","Female","F",0,0,0
"2007","2007","Not Stated","NS","Male","M",2,0,0
"2008","2008","< 1 year","1","Female","F",0,2022889,0
"2008","2008","< 1 year","1","Male","M",0,2109846,0
"2008","2008","1-4 years","1-4","Female","F",0,7891294,0
"2008","2008","1-4 years","1-4","Male","M",0,8247098,0
"2008","2008","5-9 years","5-9","Female","F",0,9748488,0
"2008","2008","5-9 years","5-9","Male","M",0,10181114,0
"2008","2008","10-14 years","10-14","Female","F",9,10108474,0
"2008","2008","10-14 years","10-14","Male","M",41,10598181,0.4
"2008","2008","15-19 years","15-19","Female","F",58,10805148,0.5
"2008","2008","15-19 years","15-19","Male","M",640,11405732,5.6
"2008","2008","20-24 years","20-24","Female","F",130,10339566,1.3
"2008","2008","20-24 years","20-24","Male","M",1181,10841046,10.9
"2008","2008","25-29 years","25-29","Female","F",151,10393532,1.5
"2008","2008","25-29 years","25-29","Male","M",1085,10509136,10.3
"2008","2008","30-34 years","30-34","Female","F",155,9625879,1.6
"2008","2008","30-34 years","30-34","Male","M",966,9678926,10
"2008","2008","35-39 years","35-39","Female","F",182,10437809,1.7
"2008","2008","35-39 years","35-39","Male","M",1132,10379654,10.9
"2008","2008","40-44 years","40-44","Female","F",266,10757924,2.5
"2008","2008","40-44 years","40-44","Male","M",1216,10617099,11.5
"2008","2008","45-49 years","45-49","Female","F",329,11556983,2.8
"2008","2008","45-49 years","45-49","Male","M",1555,11263990,13.8
"2008","2008","50-54 years","50-54","Female","F",288,11040553,2.6
"2008","2008","50-54 years","50-54","Male","M",1617,10598921,15.3
"2008","2008","55-59 years","55-59","Female","F",239,9702238,2.5
"2008","2008","55-59 years","55-59","Male","M",1430,9112330,15.7
"2008","2008","60-64 years ","60-64","Female","F",164,7979525,2.1
"2008","2008","60-64 years ","60-64","Male","M",1246,7362970,16.9
"2008","2008","65-69 years","65-69","Female","F",93,6147908,1.5
"2008","2008","65-69 years","65-69","Male","M",934,5446439,17.1
"2008","2008","70-74 years","70-74","Female","F",86,4856336,1.8
